created_at,help_type,priority,status,details,email,full_name,role,subteam
1764484604836,urgent,medium,failure,Heavy way class PM coach region expert card company order in center all three media suddenly past realize.,myoung@gmail.com,Kyle Ramsey,staff,logistics
1764484604836,other,low,resolved,Surface wife father ready ahead free prepare hard successful past listen know to close computer their action back indicate fly according beat life cut issue dream so early couple agreement wide.,ooliver@hotmail.com,Maria Beard,staff,registration
1764484604836,urgent,low,resolved,Tax time must artist century then full order recently size network walk safe various someone particular follow respond early indicate blood dream up activity might safe popular finish field somebody international short.,rduke@gmail.com,Kristina Knight,staff,security
1764484604836,urgent,low,pending,Hope Congress born least person guy sure mean mission central sister manage tend baby through company ask home project girl read until pretty church money enough particular stuff early.,ywhite@gmail.com,Brandon Barrett,attendee,
1764484604836,other,low,pending,Day avoid despite since ever page account ever important manager individual side short religious father military wrong well none chance rock still behind rather different defense main small decade wonder physical trip right.,egarza@yahoo.com,Frank Jackson II,attendee,
1764484604836,urgent,high,resolved,Stay see raise marriage law their eat television travel news hand than street hotel instead beat my how pick American collection cell interview call improve box according return.,lisa15@gmail.com,Samuel Morris,attendee,
1764484604836,urgent,low,pending,Smile side national outside single military that resource black key reason kid mission point live second wall here time serve anything likely vote successful although onto response news car leg scene not race.,andrew94@gmail.com,Ann Castillo,admin,
1764484604836,question,high,failure,Catch voice significant thus threat piece between face fund sometimes relationship spring risk dog when southern professional evening their go assume town should us responsibility dark Democrat above agent you effect message painting note.,jeanette25@hotmail.com,Dr. Sarah Sims,staff,logistics
1764484604836,question,low,failure,Mission huge along fear unit herself you would professor knowledge enough significant general as tonight leader fact tell he center after right number current still.,linda84@hotmail.com,Ashlee Hooper,staff,technology
1764484604836,urgent,low,failure,How station leave brother similar seem president such these almost culture create feeling back activity main mission cultural yes community understand provide politics man network per baby final subject.,hannahhampton@hotmail.com,Amy Hooper,admin,
1764484604836,urgent,low,resolved,Husband note rest watch including term choose fund sign collection identify any to image true nice must themselves necessary subject natural let across population heart.,jamiewhite@gmail.com,Brian Jensen,staff,operations
