email,full_name,subteam,day,start_time,end_time,room,zoom_url,title,description,speaker
xgonzalez@gmail.com,William Hanson,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
jill96@yahoo.com,Karen Flowers,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
rebeccamullen@yahoo.com,Kayla Durham,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
davisjason@yahoo.com,Charles Palmer,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
connor26@yahoo.com,Jacqueline Sweeney,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
pedro69@yahoo.com,Chelsey Smith,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
cynthia71@gmail.com,Taylor Mosley,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
mthompson@hotmail.com,Rebecca Johnson,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
jennifer86@gmail.com,Susan May,technology,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
rgreen@hotmail.com,Amy Farrell,registration,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
davidfletcher@gmail.com,Angela Miller,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
kyle04@gmail.com,Michael Myers,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
pgarcia@yahoo.com,Laura Davis,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
richardsonjesse@yahoo.com,Cynthia Cunningham,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
vwatts@hotmail.com,Joseph Diaz,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
patrickwillis@hotmail.com,Sylvia Roberts,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
richardsweeney@yahoo.com,Laura Scott,logistics,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
gcombs@yahoo.com,Robert Hoffman,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
eharris@yahoo.com,Stephen Stewart,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
angela07@hotmail.com,James Wright,,Day 1,09:00,09:50,,https://zoom.example.com/j/3945118196,Congress know nice local and.,Option address sing already know understand investment doctor whether cut team tax make.,Steve Mason
