full_name,email,phone,role,subteam,school,grade,company
John Lewis,michaelrobinson@yahoo.com,+1-778-590-5774x82798,attendee,,Williamchester University,freshman,"Rogers, Hanson and Anderson"
Curtis Berry,uyoung@gmail.com,+1-294-754-5636x04929,admin,,New Bryanton University,junior,Mason-Stephenson
Randy Russell,troymedina@hotmail.com,(785)292-3935x8204,attendee,,North Karenview University,freshman,"Wilson, Cox and Ramirez"
Kimberly Galloway,wgreen@yahoo.com,+1-700-223-6464x622,attendee,,Port Waynemouth University,other,Singh Inc
Allison Kline,adrienneknight@gmail.com,+1-291-422-6840x99631,attendee,,Wrighthaven University,junior,"Hudson, Ramirez and Hill"
Samantha Norman,christy88@gmail.com,588-616-1700x646,attendee,,New Jamesport University,sophomore,"Barnes, Ortiz and Gomez"
Colin Wood,johnsoncatherine@yahoo.com,+1-648-494-6443x1453,attendee,,Avilaton University,masters,Roberts-Randolph
John Foster,brooketurner@yahoo.com,7075834052,attendee,,Michaelberg High School,eleventh grade,Medina-Johnson
Adam Martin,wortiz@hotmail.com,(852)236-1661,attendee,,East Andrew High School,eleventh grade,Young-Woods
Derek Kirby,stephensweeney@gmail.com,756.425.3104x55287,attendee,,Lake Stephaniefurt University,masters,Mitchell-Reyes
Thomas Ortiz,perezpaul@gmail.com,001-558-303-1504x27427,attendee,,South Bobby High School,ninth grade,"Rodriguez, Rogers and Lee"
Anthony Wyatt,jennifer64@hotmail.com,2119023020,staff,finance,Tuckerville University,junior,Morris PLC
Heather Archer,smithrobert@gmail.com,+1-816-961-3181x626,attendee,,Drewfort High School,ninth grade,Allen PLC
Jonathan Mack DDS,john80@gmail.com,404-367-8105x2803,attendee,,Kathrynview University,sophomore,"Robinson, Allen and Rogers"
Derrick Donaldson,opacheco@gmail.com,(562)648-3674,staff,technology,North Eric University,sophomore,Martin and Sons
Susan Porter,marygarza@hotmail.com,785.284.2689x1181,attendee,,Choihaven University,other,Larsen and Sons
Karen Price,jessehammond@gmail.com,208.254.5094x161,attendee,,Desireeport High School,tenth grade,Chan-Yates
Mallory Mcclure,ralph86@gmail.com,(399)643-3402,staff,registration,Jodibury University,senior,Jackson LLC
