email,full_name,url
michaelphillips@hotmail.com,Peter Tran,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Peter+Tran+%7C+michaelphillips%40hotmail.com
christine87@yahoo.com,Regina Jones DDS,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Regina+Jones+DDS+%7C+christine87%40yahoo.com
maria46@gmail.com,Sandra Townsend,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Sandra+Townsend+%7C+maria46%40gmail.com
potterjohnny@hotmail.com,Tyler Hooper,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Tyler+Hooper+%7C+potterjohnny%40hotmail.com
jennymoore@gmail.com,Sarah Vasquez,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Sarah+Vasquez+%7C+jennymoore%40gmail.com
kaylawhite@gmail.com,Christine Lewis,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Christine+Lewis+%7C+kaylawhite%40gmail.com
mklein@gmail.com,Mary Baker,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Mary+Baker+%7C+mklein%40gmail.com
uanderson@gmail.com,Jeffrey Briggs,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Jeffrey+Briggs+%7C+uanderson%40gmail.com
nelsonwilliam@yahoo.com,Nathan Anderson,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Nathan+Anderson+%7C+nelsonwilliam%40yahoo.com
whitechad@yahoo.com,Jacqueline Welch,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Jacqueline+Welch+%7C+whitechad%40yahoo.com
lperez@yahoo.com,Julia Adams,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Julia+Adams+%7C+lperez%40yahoo.com
eblack@yahoo.com,Zachary Hampton,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Zachary+Hampton+%7C+eblack%40yahoo.com
burtonapril@yahoo.com,Janet Klein,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Janet+Klein+%7C+burtonapril%40yahoo.com
johnreed@hotmail.com,Jesse Hernandez,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Jesse+Hernandez+%7C+johnreed%40hotmail.com
nealloretta@hotmail.com,Daniel Saunders,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Daniel+Saunders+%7C+nealloretta%40hotmail.com
lisa33@yahoo.com,Wanda Conrad MD,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Wanda+Conrad+MD+%7C+lisa33%40yahoo.com
brandon31@gmail.com,Carla Drake,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Carla+Drake+%7C+brandon31%40gmail.com
piercegregory@hotmail.com,Alicia Garcia,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Alicia+Garcia+%7C+piercegregory%40hotmail.com
tamara79@hotmail.com,Peter Lopez,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Peter+Lopez+%7C+tamara79%40hotmail.com
lisa97@hotmail.com,Wayne Smith,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Wayne+Smith+%7C+lisa97%40hotmail.com
steve31@hotmail.com,Cynthia Miller,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Cynthia+Miller+%7C+steve31%40hotmail.com
tiffanyalexander@gmail.com,Michael Anderson,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Michael+Anderson+%7C+tiffanyalexander%40gmail.com
zgray@gmail.com,Hannah Melton,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Hannah+Melton+%7C+zgray%40gmail.com
longchristopher@hotmail.com,Maria Hanson,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Maria+Hanson+%7C+longchristopher%40hotmail.com
kenneth52@gmail.com,Jaclyn Gonzalez,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Jaclyn+Gonzalez+%7C+kenneth52%40gmail.com
llong@hotmail.com,Robert Carter,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Robert+Carter+%7C+llong%40hotmail.com
boydmichelle@gmail.com,William Howard,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=William+Howard+%7C+boydmichelle%40gmail.com
dalton61@hotmail.com,Thomas Doyle,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Thomas+Doyle+%7C+dalton61%40hotmail.com
jennifergriffith@gmail.com,Timothy Graham,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Timothy+Graham+%7C+jennifergriffith%40gmail.com
kevinmendez@hotmail.com,Yolanda Carter,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Yolanda+Carter+%7C+kevinmendez%40hotmail.com
