full_name,email,phone,role,subteam,school,grade,company
Brandon Ballard,philipbrown@hotmail.com,+1-814-520-1133,staff,technology,Foxstad High School,twelfth grade,Tran PLC
Katie Lee,carrie76@hotmail.com,792-562-9458x461,staff,operations,Lake Ryan High School,tenth grade,"Olson, Jimenez and Meyer"
Melissa Gonzalez,dlewis@hotmail.com,(350)947-9588x5838,attendee,,South Anthony High School,ninth grade,Love and Sons
Beth Gates,nicholas70@hotmail.com,+1-538-298-0958x47514,attendee,,West Maria University,other,Holmes-Mitchell
Jeffrey Sanchez,baileyrobert@gmail.com,225-684-5842x006,staff,technology,New Michelle University,masters,"Morrison, Mcgee and Salinas"
Zachary Obrien,erin09@yahoo.com,215.625.2281x685,attendee,,Wiseshire University,junior,Fuentes PLC
Alyssa Zimmerman,christina40@gmail.com,+1-456-521-6558x70285,attendee,,Charleshaven University,sophomore,Allen PLC
Joanne Johnson,gwilliams@yahoo.com,769-522-4972x5585,attendee,,Lake Michael University,junior,Jones Group
Amber Gray,bowmandonna@gmail.com,639.459.7322x39234,attendee,,Ernestburgh High School,twelfth grade,Hines-Morgan
Chris Pruitt,mark72@hotmail.com,(511)204-4711x0695,staff,security,Lake Michaelfurt High School,twelfth grade,"Chaney, Delgado and Hernandez"
Vincent Townsend,jessicaherman@yahoo.com,971.606.7022x4430,attendee,,Michelleview University,other,Roman-Little
Alejandro Lowe,boylemichelle@hotmail.com,+1-707-353-7549x1921,attendee,,Teresachester High School,ninth grade,Brown Ltd
Travis Leonard,jdougherty@yahoo.com,+1-498-512-0141,staff,registration,Kathrynville University,phd,"Henderson, Oneal and Tucker"
Laurie Hale,holly78@yahoo.com,001-818-541-9644x5054,attendee,,West Kelly University,phd,Jimenez-Johnson
Robert Fry,clove@hotmail.com,732-682-1535,attendee,,Meltonside University,freshman,Miller Inc
Mariah Mckee,jbrown@yahoo.com,539.329.0966,attendee,,Villanuevabury University,freshman,Boone Group
Donald Moreno,nicolepalmer@hotmail.com,+1-380-363-2159x25478,attendee,,Laurenchester High School,tenth grade,Moore-Rogers
Michelle Rodriguez,andrearobinson@hotmail.com,450-495-4667,attendee,,South Justin University,senior,"Martinez, Rodriguez and Rodriguez"
Jeffrey Thomas,jonathanryan@hotmail.com,(740)887-4552x22877,attendee,,West Nicholas High School,eleventh grade,Valencia Inc
Shirley Phillips,btaylor@gmail.com,872.625.0951x8821,admin,,Marcusstad University,freshman,Elliott-Price
Daniel Spencer,ocooper@gmail.com,001-290-485-6490x020,attendee,,South Joshuaberg University,sophomore,Cardenas and Sons
