email,full_name,url
philipbrown@hotmail.com,Brandon Ballard,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Brandon+Ballard+%7C+philipbrown%40hotmail.com
carrie76@hotmail.com,Katie Lee,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Katie+Lee+%7C+carrie76%40hotmail.com
dlewis@hotmail.com,Melissa Gonzalez,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Melissa+Gonzalez+%7C+dlewis%40hotmail.com
nicholas70@hotmail.com,Beth Gates,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Beth+Gates+%7C+nicholas70%40hotmail.com
baileyrobert@gmail.com,Jeffrey Sanchez,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Jeffrey+Sanchez+%7C+baileyrobert%40gmail.com
erin09@yahoo.com,Zachary Obrien,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Zachary+Obrien+%7C+erin09%40yahoo.com
christina40@gmail.com,Alyssa Zimmerman,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Alyssa+Zimmerman+%7C+christina40%40gmail.com
gwilliams@yahoo.com,Joanne Johnson,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Joanne+Johnson+%7C+gwilliams%40yahoo.com
bowmandonna@gmail.com,Amber Gray,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Amber+Gray+%7C+bowmandonna%40gmail.com
mark72@hotmail.com,Chris Pruitt,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Chris+Pruitt+%7C+mark72%40hotmail.com
jessicaherman@yahoo.com,Vincent Townsend,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Vincent+Townsend+%7C+jessicaherman%40yahoo.com
boylemichelle@hotmail.com,Alejandro Lowe,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Alejandro+Lowe+%7C+boylemichelle%40hotmail.com
jdougherty@yahoo.com,Travis Leonard,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Travis+Leonard+%7C+jdougherty%40yahoo.com
holly78@yahoo.com,Laurie Hale,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Laurie+Hale+%7C+holly78%40yahoo.com
clove@hotmail.com,Robert Fry,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Robert+Fry+%7C+clove%40hotmail.com
jbrown@yahoo.com,Mariah Mckee,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Mariah+Mckee+%7C+jbrown%40yahoo.com
nicolepalmer@hotmail.com,Donald Moreno,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Donald+Moreno+%7C+nicolepalmer%40hotmail.com
andrearobinson@hotmail.com,Michelle Rodriguez,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Michelle+Rodriguez+%7C+andrearobinson%40hotmail.com
jonathanryan@hotmail.com,Jeffrey Thomas,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Jeffrey+Thomas+%7C+jonathanryan%40hotmail.com
btaylor@gmail.com,Shirley Phillips,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Shirley+Phillips+%7C+btaylor%40gmail.com
ocooper@gmail.com,Daniel Spencer,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Daniel+Spencer+%7C+ocooper%40gmail.com
jamesdavis@gmail.com,Eduardo Simmons,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Eduardo+Simmons+%7C+jamesdavis%40gmail.com
lisa45@gmail.com,Madeline Lopez,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Madeline+Lopez+%7C+lisa45%40gmail.com
hbyrd@gmail.com,Seth Mason,https://api.qrserver.com/v1/create-qr-code/?size=300x300&data=Seth+Mason+%7C+hbyrd%40gmail.com
