email,full_name,subteam,day,start_time,end_time,room,zoom_url,title,description,speaker
philipbrown@hotmail.com,Brandon Ballard,technology,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
carrie76@hotmail.com,Katie Lee,operations,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
dlewis@hotmail.com,Melissa Gonzalez,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
nicholas70@hotmail.com,Beth Gates,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
baileyrobert@gmail.com,Jeffrey Sanchez,technology,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
erin09@yahoo.com,Zachary Obrien,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
christina40@gmail.com,Alyssa Zimmerman,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
gwilliams@yahoo.com,Joanne Johnson,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
bowmandonna@gmail.com,Amber Gray,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
mark72@hotmail.com,Chris Pruitt,security,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
jessicaherman@yahoo.com,Vincent Townsend,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
boylemichelle@hotmail.com,Alejandro Lowe,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
jdougherty@yahoo.com,Travis Leonard,registration,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
holly78@yahoo.com,Laurie Hale,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
clove@hotmail.com,Robert Fry,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
jbrown@yahoo.com,Mariah Mckee,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
nicolepalmer@hotmail.com,Donald Moreno,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
andrearobinson@hotmail.com,Michelle Rodriguez,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
jonathanryan@hotmail.com,Jeffrey Thomas,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
btaylor@gmail.com,Shirley Phillips,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
ocooper@gmail.com,Daniel Spencer,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
jamesdavis@gmail.com,Eduardo Simmons,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
lisa45@gmail.com,Madeline Lopez,security,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
hbyrd@gmail.com,Seth Mason,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
lisaashley@hotmail.com,John Saunders,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
lgraves@hotmail.com,Caroline Dunn,security,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
xadams@yahoo.com,Lindsey Harris,logistics,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
edward79@hotmail.com,Warren Short,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
melissasimmons@yahoo.com,Dr. Eric Palmer,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
nguyenjonathan@yahoo.com,Mrs. Rebecca Phillips,security,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
inavarro@yahoo.com,Cheryl Malone,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
ksmith@hotmail.com,Ivan Wheeler,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
zsullivan@yahoo.com,John Bullock,registration,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
herrerajennifer@gmail.com,Allison Bishop,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
jeffreynorris@yahoo.com,Christy Martinez,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
david35@yahoo.com,Molly Morgan,logistics,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
emata@gmail.com,James Shepherd,security,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
daniel94@yahoo.com,Amy Davies,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
thomascummings@gmail.com,Latasha Cummings,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
underwooderic@gmail.com,Bryan Lee MD,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
joe95@yahoo.com,Lisa Maxwell,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
petersjennifer@hotmail.com,Maria Bowman,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
christinafoster@yahoo.com,Joanna Bishop,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
kjohnson@gmail.com,Jeffrey Chen IV,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
kfranco@yahoo.com,Sheri Hale,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
jmitchell@gmail.com,Kimberly Smith,security,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
rebeccaparks@hotmail.com,John Wilson,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
emily73@hotmail.com,Matthew Chen,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
mahoneyisabel@hotmail.com,Micheal Stewart,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
agraves@yahoo.com,Keith Thomas,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
alijacob@hotmail.com,Dominic Shaw,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
gwaller@hotmail.com,David Kirby,,Day 1,09:00,09:50,,https://zoom.example.com/j/6845604601,Four likely add month my economic.,Develop behavior maybe certain or page lot success throw generation sing upon would sort film organization get receive election describe experience analysis truth piece for must.,Kathleen Berg
