email,full_name,subteam,day,start_time,end_time,room,zoom_url,title,description,speaker
andrew04@hotmail.com,Lisa Maddox,Operations,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
debrareyes@gmail.com,Ashlee Hopkins,Logistics,Day 1,09:00,09:50,C216,,Bed guess recognize environment.,Response employee none design great admit nor at. Medical over wear size garden.,David Vasquez
rebeccamclaughlin@gmail.com,Christian Neal,Logistics,Day 1,09:00,09:50,,https://zoom.example.com/j/9701753350,Seek follow book strong discuss eight.,Section board suggest organization movement person pressure up.,Jimmy Jones
michellewalton@hotmail.com,Joshua Good,,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
zdominguez@yahoo.com,Lauren Meyer,,Day 1,09:00,09:50,,https://zoom.example.com/j/9701753350,Seek follow book strong discuss eight.,Section board suggest organization movement person pressure up.,Jimmy Jones
gtucker@hotmail.com,Hannah Vaughan,Tech Support,Day 1,09:00,09:50,,https://zoom.example.com/j/9701753350,Seek follow book strong discuss eight.,Section board suggest organization movement person pressure up.,Jimmy Jones
jason59@gmail.com,Jordan Roberson,,Day 1,09:00,09:50,C216,,Bed guess recognize environment.,Response employee none design great admit nor at. Medical over wear size garden.,David Vasquez
carmen72@hotmail.com,Deborah Spencer,Operations,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
davidlewis@hotmail.com,Paul Morgan,,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
lewisbradley@hotmail.com,Nicholas Patrick PhD,Catering,Day 1,09:00,09:50,C216,,Bed guess recognize environment.,Response employee none design great admit nor at. Medical over wear size garden.,David Vasquez
daniel85@gmail.com,George Mccormick,,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
josemorgan@yahoo.com,Andrew Price,,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
fmunoz@hotmail.com,Elizabeth Cruz,,Day 1,09:00,09:50,,https://zoom.example.com/j/9701753350,Seek follow book strong discuss eight.,Section board suggest organization movement person pressure up.,Jimmy Jones
qbennett@yahoo.com,Cheryl Logan,,Day 1,09:00,09:50,C216,,Bed guess recognize environment.,Response employee none design great admit nor at. Medical over wear size garden.,David Vasquez
david80@hotmail.com,Cheryl Perez,,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
jennifer39@yahoo.com,Joshua Holt,,Day 1,09:00,09:50,C216,,Bed guess recognize environment.,Response employee none design great admit nor at. Medical over wear size garden.,David Vasquez
sjohnston@hotmail.com,Kristina Myers,Admin,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
williamssamuel@gmail.com,Deborah Rodriguez,,Day 1,09:00,09:50,,https://zoom.example.com/j/9701753350,Seek follow book strong discuss eight.,Section board suggest organization movement person pressure up.,Jimmy Jones
gilbertrobert@gmail.com,Heather Simmons,,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
austinpalmer@hotmail.com,Crystal Mcgrath,,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
darren87@gmail.com,Brett Bailey,,Day 1,09:00,09:50,,https://zoom.example.com/j/9701753350,Seek follow book strong discuss eight.,Section board suggest organization movement person pressure up.,Jimmy Jones
cynthiatucker@yahoo.com,James Hines,Admin,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
tracy74@hotmail.com,Stephen Hill,Tech Support,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
angelaalexander@hotmail.com,Brenda Nelson,,Day 1,09:00,09:50,,https://zoom.example.com/j/9701753350,Seek follow book strong discuss eight.,Section board suggest organization movement person pressure up.,Jimmy Jones
hosabrina@hotmail.com,Richard Harvey,Operations,Day 1,09:00,09:50,C216,,Bed guess recognize environment.,Response employee none design great admit nor at. Medical over wear size garden.,David Vasquez
rachel90@gmail.com,Heather Martin,,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
llewis@gmail.com,Teresa Gomez,,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
michael01@yahoo.com,Jorge Harris DDS,Operations,Day 1,09:00,09:50,C216,,Bed guess recognize environment.,Response employee none design great admit nor at. Medical over wear size garden.,David Vasquez
folsen@hotmail.com,Chelsea Ward,,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
rebecca57@yahoo.com,Amanda Edwards,Admin,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
perrycarolyn@yahoo.com,Jay Long,,Day 1,09:00,09:50,,https://zoom.example.com/j/9701753350,Seek follow book strong discuss eight.,Section board suggest organization movement person pressure up.,Jimmy Jones
phelpswilliam@hotmail.com,Lisa Zamora,,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
coxrebecca@gmail.com,Ana Crawford,,Day 1,09:00,09:50,C216,,Bed guess recognize environment.,Response employee none design great admit nor at. Medical over wear size garden.,David Vasquez
julieespinoza@hotmail.com,Eric Carr,Security,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
ejohnson@hotmail.com,Alexandra Kennedy,,Day 1,09:00,09:50,F316,,Arrive instead part.,Specific newspaper begin action federal. Little care student as.,Nicole Sutton
