full_name,email,phone,role,subteam,school,grade,company
Oscar Norris,michelle31@yahoo.com,001-927-261-7869x538,attendee,,Lake Kevin High School,ninth grade,"Robbins, Thomas and Ward"
Peggy Woods,lisa58@yahoo.com,2993891592,attendee,,Port Dana High School,tenth grade,"Vaughn, Smith and Dickson"
Nicole Garcia,simpsonvanessa@hotmail.com,646-671-3137,attendee,,Mckeebury University,sophomore,"Chandler, Vasquez and Martin"
Rhonda Henderson,olivia10@gmail.com,882-332-0040,attendee,,South Kimberlyport University,phd,Espinoza-Floyd
Hannah Cooper,briancameron@yahoo.com,428-574-9295x47322,attendee,,Weissborough University,masters,"Harris, Butler and Thomas"
Edward Wells,betty19@gmail.com,511-407-3784,staff,logistics,Lake Michael University,freshman,Brown Ltd
Daniel Vargas,nicolerivera@yahoo.com,829-694-5690x0591,attendee,,Ronaldmouth University,other,Watkins Group
Mr. William Dixon,davisbriana@hotmail.com,(356)911-8899x1910,staff,logistics,New Mark High School,eleventh grade,"Jones, Nguyen and Smith"
Trevor Smith,joshua30@yahoo.com,+1-608-751-1114x215,attendee,,North Scott University,senior,Kirby PLC
Christopher Jenkins,brandon31@gmail.com,001-955-789-6117x73821,attendee,,Lake Jasontown University,junior,Robertson Group
Caleb Durham,ostone@gmail.com,851.609.6619x346,attendee,,Jordanberg University,sophomore,Grant-Ward
Sherri Collins,flove@gmail.com,349-931-2978,staff,security,West Jennifer University,sophomore,Stanton Inc
Tamara Davis,cwarren@hotmail.com,700.965.0974,attendee,,Williamshire University,junior,"Brown, Hall and Payne"
Alex Kerr,ian20@gmail.com,+1-293-956-9328x477,attendee,,North Jonathanbury High School,ninth grade,Perry-Young
Scott Mills,jchen@hotmail.com,001-712-859-4374x575,attendee,,South Joseport High School,eleventh grade,Hoffman-Kelly
Jasmine Madden,xgibbs@hotmail.com,638-822-8992,staff,security,Westland University,other,Sawyer and Sons
Sandy Avery,dwatkins@gmail.com,952.584.6192x93932,attendee,,North Robertmouth University,senior,"Perry, Garcia and Peterson"
Paul Martin,daykarla@yahoo.com,(473)321-4128,attendee,,West Jane University,freshman,"Krueger, Thomas and Santana"
Heather Reynolds,carlosgarza@yahoo.com,(958)968-7733,attendee,,Duncanchester High School,twelfth grade,Mora LLC
Robert Tyler,ericbell@hotmail.com,778.919.4196x261,staff,security,New James University,phd,Munoz PLC
Eugene Sexton,grimesdylan@gmail.com,203.877.8156x6053,staff,logistics,Christopherland University,freshman,Osborne Group
